"account_handle","Country","V1","V2","V3","V4","V5","V6","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","total_emotion_score","norm_anger","norm_anticipation","norm_disgust","norm_fear","norm_joy","norm_sadness","norm_surprise","norm_trust","highly_emotional","emotion_1","emotion_2","emotion_3","emotion_4","emotion_5","emotion_6","emotion_7","emotion_8","dominant_topic","dominant_emotion"
"eldemoledorcriticaalfeminismo","AR",4,5,6,3,2,7,50,39,33,55,28,58,22,67,121,122,352,0.142045454545455,0.110795454545455,0.09375,0.15625,0.0795454545454545,0.164772727272727,0.0625,0.190340909090909,FALSE,"norm_trust","norm_sadness","norm_fear","norm_anger","norm_anticipation","norm_disgust","norm_joy","norm_surprise",4,"trust"
"elsoberanodelpatriarcado","PE",6,3,4,5,2,7,13,7,4,13,2,8,0,11,20,15,58,0.224137931034483,0.120689655172414,0.0689655172413793,0.224137931034483,0.0344827586206897,0.137931034482759,0,0.189655172413793,FALSE,"norm_anger","norm_fear","norm_trust","norm_sadness","norm_anticipation","norm_disgust","norm_joy","norm_surprise",6,"anger"
"frentefuerte","MX",4,5,1,6,7,3,9,18,11,17,14,16,8,30,33,45,123,0.0731707317073171,0.146341463414634,0.0894308943089431,0.138211382113821,0.113821138211382,0.130081300813008,0.0650406504065041,0.24390243902439,FALSE,"norm_trust","norm_anticipation","norm_fear","norm_sadness","norm_joy","norm_disgust","norm_anger","norm_surprise",4,"trust"
"lamadrinadelpatriarcado","CO",4,3,6,7,5,2,52,55,42,62,42,68,22,89,138,137,432,0.12037037037037,0.127314814814815,0.0972222222222222,0.143518518518519,0.0972222222222222,0.157407407407407,0.0509259259259259,0.206018518518519,TRUE,"norm_trust","norm_sadness","norm_fear","norm_anticipation","norm_anger","norm_disgust","norm_joy","norm_surprise",4,"trust"
"libertadyequidad","AR",3,7,5,4,6,2,28,24,14,30,18,20,8,31,45,63,173,0.161849710982659,0.138728323699422,0.0809248554913295,0.173410404624277,0.104046242774566,0.115606936416185,0.046242774566474,0.179190751445087,FALSE,"norm_trust","norm_fear","norm_anger","norm_anticipation","norm_sadness","norm_joy","norm_disgust","norm_surprise",3,"trust"
"mamelafiallo","EC",4,3,7,6,5,2,136,137,91,178,131,154,67,235,320,394,1129,0.120460584588131,0.121346324180691,0.0806023029229407,0.157661647475642,0.116031886625332,0.136403897254207,0.0593445527015058,0.20814880425155,TRUE,"norm_trust","norm_fear","norm_sadness","norm_anticipation","norm_anger","norm_joy","norm_disgust","norm_surprise",4,"trust"
"nadiemenoscentroamerica","SV",1,6,5,7,4,2,223,157,147,252,127,217,93,277,497,435,1493,0.149363697253851,0.105157401205626,0.0984594775619558,0.168787675820496,0.0850636302746149,0.145344943067649,0.0622906898861353,0.185532484929672,TRUE,"norm_trust","norm_fear","norm_anger","norm_sadness","norm_anticipation","norm_disgust","norm_joy","norm_surprise",1,"trust"
"no.al.matromonio.gay","US",5,6,4,3,7,2,0,2,0,0,1,1,0,4,2,7,8,0,0.25,0,0,0.125,0.125,0,0.5,FALSE,"norm_trust","norm_anticipation","norm_joy","norm_sadness","norm_anger","norm_disgust","norm_fear","norm_surprise",5,"trust"
"notevotoconabortoeideologiadegenero","AR",2,7,1,5,4,3,118,109,86,144,102,139,56,175,269,298,929,0.127018299246502,0.117330462863294,0.0925726587728741,0.155005382131324,0.109795479009688,0.14962325080732,0.0602798708288482,0.188374596340151,TRUE,"norm_trust","norm_fear","norm_sadness","norm_anger","norm_anticipation","norm_joy","norm_disgust","norm_surprise",2,"trust"
"olacelestecordobaver","MX",7,4,6,2,5,1,151,135,110,192,104,146,68,228,336,347,1134,0.1331569664903,0.119047619047619,0.0970017636684303,0.169312169312169,0.091710758377425,0.128747795414462,0.0599647266313933,0.201058201058201,TRUE,"norm_trust","norm_fear","norm_anger","norm_sadness","norm_anticipation","norm_disgust","norm_joy","norm_surprise",7,"trust"
"olacelestelaplata","AR",2,7,1,6,5,4,42,53,37,66,39,49,26,92,104,133,404,0.103960396039604,0.131188118811881,0.0915841584158416,0.163366336633663,0.0965346534653465,0.121287128712871,0.0643564356435644,0.227722772277228,TRUE,"norm_trust","norm_fear","norm_anticipation","norm_sadness","norm_anger","norm_joy","norm_disgust","norm_surprise",2,"trust"
"patriarcadio3","PE",4,7,3,2,5,6,82,63,58,92,56,92,32,93,194,170,568,0.144366197183099,0.110915492957746,0.102112676056338,0.161971830985915,0.0985915492957746,0.161971830985915,0.0563380281690141,0.163732394366197,TRUE,"norm_trust","norm_fear","norm_sadness","norm_anger","norm_anticipation","norm_disgust","norm_joy","norm_surprise",4,"trust"
"perunadiemenos","PE",7,4,2,3,6,1,49,47,27,60,35,42,22,86,88,123,368,0.133152173913043,0.127717391304348,0.0733695652173913,0.16304347826087,0.0951086956521739,0.114130434782609,0.0597826086956522,0.233695652173913,FALSE,"norm_trust","norm_fear","norm_anger","norm_anticipation","norm_sadness","norm_joy","norm_disgust","norm_surprise",7,"trust"
"politologosantifeministas","MX",1,5,6,7,3,4,108,91,66,130,75,121,36,163,239,263,790,0.136708860759494,0.115189873417722,0.0835443037974684,0.164556962025316,0.0949367088607595,0.153164556962025,0.0455696202531646,0.206329113924051,TRUE,"norm_trust","norm_fear","norm_sadness","norm_anger","norm_anticipation","norm_joy","norm_disgust","norm_surprise",1,"trust"
"prolifeworldLantam","SV",1,7,6,4,5,2,11,15,8,14,14,9,6,27,23,39,104,0.105769230769231,0.144230769230769,0.0769230769230769,0.134615384615385,0.134615384615385,0.0865384615384615,0.0576923076923077,0.259615384615385,FALSE,"norm_trust","norm_anticipation","norm_fear","norm_joy","norm_anger","norm_sadness","norm_disgust","norm_surprise",1,"trust"
"providatfamilia","PE",6,7,2,1,4,3,8,13,4,11,11,10,3,39,17,53,99,0.0808080808080808,0.131313131313131,0.0404040404040404,0.111111111111111,0.111111111111111,0.101010101010101,0.0303030303030303,0.393939393939394,FALSE,"norm_trust","norm_anticipation","norm_fear","norm_joy","norm_sadness","norm_anger","norm_disgust","norm_surprise",6,"trust"
"redprovidalatam","CO",7,3,4,6,2,1,40,51,26,47,46,47,17,90,90,149,364,0.10989010989011,0.14010989010989,0.0714285714285714,0.129120879120879,0.126373626373626,0.129120879120879,0.0467032967032967,0.247252747252747,FALSE,"norm_trust","norm_anticipation","norm_fear","norm_sadness","norm_joy","norm_anger","norm_disgust","norm_surprise",7,"trust"
"stopdesigualdad","ES",6,2,4,1,7,3,3,1,5,5,1,3,1,2,7,3,21,0.142857142857143,0.0476190476190476,0.238095238095238,0.238095238095238,0.0476190476190476,0.142857142857143,0.0476190476190476,0.0952380952380952,FALSE,"norm_disgust","norm_fear","norm_anger","norm_sadness","norm_trust","norm_anticipation","norm_joy","norm_surprise",6,"disgust"
"unidadprovida","AR",7,1,4,3,2,6,4,18,4,8,12,8,6,25,12,32,85,0.0470588235294118,0.211764705882353,0.0470588235294118,0.0941176470588235,0.141176470588235,0.0941176470588235,0.0705882352941176,0.294117647058824,FALSE,"norm_trust","norm_anticipation","norm_joy","norm_fear","norm_sadness","norm_surprise","norm_anger","norm_disgust",7,"trust"
